granularity,period,factor,return,percentile,rank,is_best
week,2015-W08,alpha101/alpha_023,0.23355,0.6086,7,0
week,2015-W08,alpha101/alpha_044,0.22909,0.5892,8,0
week,2015-W08,alpha101/alpha_015,0.22279,0.5668,9,0
week,2015-W08,gtja191/alpha_016,0.21505,0.5595,10,0
week,2015-W08,alpha101/alpha_016,0.20975,0.5402,11,0
week,2015-W08,alpha101/alpha_080,0.20927,0.5368,12,0
week,2015-W08,alpha101/alpha_055,0.2113,0.534,13,0
week,2015-W08,gtja191/alpha_008,0.21107,0.5333,14,0
week,2015-W08,alpha101/alpha_088,0.20123,0.5062,15,0
week,2015-W08,qlib158/vma10,0.19958,0.505,16,0
week,2015-W08,alpha101/alpha_004,0.18934,0.4682,17,0
week,2015-W08,qlib158/cntn5,0.18454,0.455,18,0
week,2015-W08,qlib158/vsumn5,0.17417,0.4178,19,0
week,2015-W08,alpha101/alpha_027,0.18068,0.4115,20,0
week,2015-W08,qlib158/ma10,0.16861,0.3942,21,0
week,2015-W08,gtja191/alpha_041,0.16809,0.3834,22,0
week,2015-W08,qlib158/vsumn20,0.1572,0.3639,23,0
week,2015-W08,gtja191/alpha_048,0.15042,0.3312,24,0
week,2015-W08,gtja191/alpha_157,0.15042,0.3264,25,0
week,2015-W08,gtja191/alpha_006,0.14284,0.3023,26,0
week,2015-W08,qlib158/min10,0.13908,0.282,27,0
week,2015-W08,gtja191/alpha_168,0.12981,0.2735,28,0
week,2015-W09,gtja191/alpha_037,0.43019,0.8723,1,1
week,2015-W09,qlib158/ma10,0.40079,0.871,2,0
week,2015-W09,gtja191/alpha_008,0.34001,0.811,3,0
week,2015-W09,qlib158/vma10,0.32451,0.7901,4,0
week,2015-W09,alpha101/alpha_023,0.33062,0.777,5,0
week,2015-W09,alpha101/alpha_024,0.3088,0.7481,6,0
week,2015-W09,gtja191/alpha_001,0.32364,0.7451,7,0
week,2015-W09,qlib158/vsumn5,0.28512,0.7246,8,0
week,2015-W09,gtja191/alpha_090,0.25487,0.648,9,0
week,2015-W09,gtja191/alpha_016,0.23634,0.625,10,0
week,2015-W09,alpha101/alpha_002,0.237,0.6243,11,0
week,2015-W09,alpha101/alpha_088,0.24258,0.6229,12,0
week,2015-W09,alpha101/alpha_026,0.23868,0.6208,13,0
week,2015-W09,qlib158/cntn5,0.23035,0.6088,14,0
week,2015-W09,alpha101/alpha_016,0.2314,0.605,15,0
