granularity,period,factor,return,percentile,rank,is_best
week,2015-W41,lowvol,0.10206,0.1645,3,0
week,2015-W42,reversal,0.24747,0.7255,1,1
week,2015-W42,momentum,0.23575,0.6851,2,0
week,2015-W42,lowvol,0.08651,0.255,3,0
week,2015-W43,reversal,0.19102,0.6494,1,1
week,2015-W43,momentum,0.08181,0.3385,2,0
week,2015-W43,lowvol,0.05716,0.2409,3,0
week,2015-W44,reversal,0.21494,0.7376,1,1
week,2015-W44,lowvol,0.03619,0.2447,2,0
week,2015-W44,momentum,0.01347,0.1783,3,0
week,2015-W45,reversal,0.08622,0.5771,1,1
week,2015-W45,momentum,0.06889,0.5105,2,0
week,2015-W45,lowvol,0.05067,0.4799,3,0
week,2015-W46,reversal,0.08725,0.7805,1,1
week,2015-W46,momentum,0.00069,0.5719,2,0
week,2015-W46,lowvol,-0.01084,0.5377,3,0
week,2015-W47,reversal,0.07491,0.7272,1,1
week,2015-W47,lowvol,-0.01063,0.4553,2,0
week,2015-W47,momentum,-0.02963,0.3782,3,0
week,2015-W48,reversal,0.11296,0.7667,1,1
week,2015-W48,lowvol,0.05254,0.6402,2,0
week,2015-W48,momentum,0.03459,0.5577,3,0
week,2015-W49,reversal,0.0196,0.5063,1,1
week,2015-W49,lowvol,0.01172,0.4842,2,0
week,2015-W49,momentum,-0.05472,0.2102,3,0
week,2015-W50,lowvol,-0.06648,0.6918,1,1
week,2015-W50,reversal,-0.1309,0.4602,2,0
week,2015-W50,momentum,-0.22542,0.1389,3,0
week,2015-W51,lowvol,-0.1121,0.877,1,1
week,2015-W51,reversal,-0.27628,0.3335,2,0
week,2015-W51,momentum,-0.30736,0.2151,3,0
week,2015-W52,lowvol,-0.13483,0.8992,1,1
week,2015-W52,reversal,-0.22035,0.6515,2,0
week,2015-W52,momentum,-0.25517,0.4551,3,0
week,2015-W53,lowvol,-0.18604,0.8845,1,1
week,2015-W53,momentum,-0.22533,0.8175,2,0
week,2015-W53,reversal,-0.32324,0.4629,3,0
week,2016-W01,lowvol,-0.11036,0.7575,1,1
week,2016-W01,reversal,-0.14144,0.6853,2,0
week,2016-W01,momentum,-0.2408,0.3142,3,0
week,2016-W02,reversal,0.08979,0.8095,1,1
week,2016-W02,lowvol,-0.06523,0.2541,2,0
week,2016-W02,momentum,-0.10479,0.1841,3,0
week,2016-W03,reversal,0.03115,0.6735,1,1
week,2016-W03,momentum,-0.01818,0.4818,2,0
week,2016-W03,lowvol,-0.03777,0.3864,3,0
week,2016-W04,lowvol,0.00318,0.5215,1,1
week,2016-W04,reversal,-0.03125,0.3911,2,0
week,2016-W04,momentum,-0.0636,0.2424,3,0
week,2016-W05,lowvol,0.06,0.7128,1,1
week,2016-W05,reversal,0.01566,0.5645,2,0
week,2016-W05,momentum,-0.06162,0.2641,3,0
week,2016-W07,lowvol,0.05426,0.8121,1,1
week,2016-W07,reversal,0.01538,0.6892,2,0
week,2016-W07,momentum,-0.08193,0.2699,3,0
week,2016-W08,reversal,0.05906,0.6364,1,1
week,2016-W08,lowvol,0.06236,0.6272,2,0
week,2016-W08,momentum,0.02818,0.4546,3,0
week,2016-W09,reversal,0.19822,0.7818,1,1
week,2016-W09,momentum,0.1086,0.4595,2,0
week,2016-W09,lowvol,0.0468,0.2013,3,0
week,2016-W10,reversal,0.23607,0.7771,1,1
week,2016-W10,momentum,0.08457,0.2631,2,0
week,2016-W10,lowvol,0.00917,0.068,3,0
week,2016-W11,reversal,0.13267,0.4986,1,1
week,2016-W11,momentum,0.05899,0.1888,2,0
week,2016-W11,lowvol,-0.00392,0.0497,3,0
week,2016-W12,reversal,-0.001,0.4817,1,1
week,2016-W12,lowvol,-0.01001,0.4469,2,0
week,2016-W12,momentum,-0.06185,0.1938,3,0
week,2016-W13,reversal,-0.00308,0.4806,1,1
week,2016-W13,lowvol,-0.0114,0.4504,2,0
week,2016-W13,momentum,-0.08028,0.1402,3,0
week,2016-W14,lowvol,-0.01954,0.5775,1,1
week,2016-W14,momentum,-0.07218,0.3076,2,0
week,2016-W14,reversal,-0.09444,0.2125,3,0
week,2016-W15,lowvol,-0.02295,0.821,1,1
week,2016-W15,momentum,-0.13258,0.3875,2,0
