granularity,period,factor,return,percentile,rank,is_best
week,2024-W31,lowvol,0.05886,0.8852,1,1
week,2024-W31,rz_buy,-0.02148,0.6649,2,0
week,2024-W31,reversal,-0.0532,0.4659,3,0
week,2024-W31,momentum,-0.07904,0.3238,4,0
week,2024-W32,lowvol,0.03016,0.7879,1,1
week,2024-W32,rz_buy,0.01576,0.7501,2,0
week,2024-W32,reversal,-0.02571,0.551,3,0
week,2024-W32,momentum,-0.09098,0.2377,4,0
week,2024-W33,rz_buy,-0.0129,0.6707,1,1
week,2024-W33,reversal,-0.03679,0.5449,2,0
week,2024-W33,lowvol,-0.04753,0.48,3,0
week,2024-W33,momentum,-0.09904,0.3045,4,0
week,2024-W34,rz_buy,0.05932,0.7704,1,1
week,2024-W34,momentum,-0.0141,0.5148,2,0
week,2024-W34,reversal,-0.02045,0.4609,3,0
week,2024-W34,lowvol,-0.02737,0.4223,4,0
week,2024-W35,reversal,0.23807,0.7118,1,1
week,2024-W35,rz_buy,0.20875,0.7078,2,0
week,2024-W35,lowvol,0.1228,0.3429,3,0
week,2024-W35,momentum,0.01672,0.0664,4,0
week,2024-W36,reversal,0.21991,0.6569,1,1
week,2024-W36,rz_buy,0.18423,0.5127,2,0
week,2024-W36,lowvol,0.12515,0.2713,3,0
week,2024-W36,momentum,0.00676,0.0287,4,0
week,2024-W37,reversal,0.36602,0.8054,1,1
week,2024-W37,rz_buy,0.2375,0.5695,2,0
week,2024-W37,momentum,0.18156,0.3786,3,0
week,2024-W37,lowvol,0.12336,0.1805,4,0
week,2024-W38,momentum,0.58747,0.9201,1,1
week,2024-W38,reversal,0.48312,0.8675,2,0
week,2024-W38,rz_buy,0.33408,0.6788,3,0
week,2024-W38,lowvol,0.15435,0.1409,4,0
week,2024-W39,momentum,0.70946,0.9605,1,1
week,2024-W39,reversal,0.35234,0.7635,2,0
week,2024-W39,rz_buy,0.33897,0.6656,3,0
week,2024-W39,lowvol,0.11549,0.207,4,0
week,2024-W40,momentum,0.20516,0.8975,1,1
week,2024-W40,reversal,0.15964,0.8578,2,0
week,2024-W40,rz_buy,0.1287,0.8214,3,0
